timestamp,problem_id,title,test,hole,request_id,applied,build_ok,build_sorry,axiom_ok,axioms,succeeded,elapsed_prove_s,elapsed_total_s,time_budget_min,cost_budget
2026-05-06T13:51:40,two_plus_two,2 + 2 = 4,True,two_plus_two_eq_four,1fc0de50-598b-4ee7-8dac-2f6e54ff2471,True,True,True,False,,False,598.7,612.1,10,2.0
2026-05-06T13:53:34,two_plus_two,2 + 2 = 4,True,two_plus_two_eq_four,,True,True,False,True,,True,0.0,14.8,10,2.0
2026-05-06T14:02:37,ci_regenerate_main_check,CI regenerate-main check,True,ci_regenerate_main_check,4cec49bb-a6ac-40ac-af92-a019378e185a,True,True,False,True,,True,443.3,542.5,10,2.0
2026-05-06T14:13:45,list_append_singleton_length,Appending a singleton increases the list length,True,list_append_singleton_length,bc33faaa-4dd7-495f-86d5-ba677971bb39,True,True,False,True,,True,567.1,668.2,10,2.0
2026-05-06T14:34:28,def_hole_example,def-hole minimal example,True,foo,f68a8107-b5b9-49eb-b78f-810667a50a33,False,True,True,False,,False,239.4,1242.7,10,2.0
2026-05-06T14:34:28,def_hole_example,def-hole minimal example,True,foo_def,ef5fcb4f-494b-4644-9570-4a9730b1895f,True,True,True,False,,False,896.8,1242.7,10,2.0
2026-05-06T14:47:51,instance_hole_example,instance-hole minimal example,True,WidgetCarrier,8f257a79-afc0-42ef-878a-fa0da779eb58,False,True,True,False,,False,414.5,803.4,10,2.0
2026-05-06T14:47:51,instance_hole_example,instance-hole minimal example,True,instInhabitedWidget,8eee1bad-3599-41a7-8fe4-464e92fb9b0a,False,True,True,False,,False,296.4,803.4,10,2.0
2026-05-06T15:04:49,finite_graph_ramsey_theorem,Finite Ramsey theorem for graphs,False,finite_graph_ramsey_theorem,562a62df-044b-4a13-9cf8-b69177307188,True,True,True,False,,False,925.3,1018.3,10,2.0
2026-05-06T16:17:22,finite_graph_ramsey_theorem,Finite Ramsey theorem for graphs,False,finite_graph_ramsey_theorem,093a5d1e-1856-4ee8-b0ff-3451855d3c00,False,True,True,False,,False,1680.2,1721.5,default,default
2026-05-06T16:20:32,finite_graph_ramsey_theorem,Finite Ramsey theorem for graphs,False,finite_graph_ramsey_theorem,093a5d1e-1856-4ee8-b0ff-3451855d3c00,True,True,False,True,propext;Classical.choice;Quot.sound,True,4236,,default,14.30
2026-05-06T16:21:12,oppenheim_inequality,Oppenheim's inequality for Hadamard products,False,oppenheim_inequality,d05df5d3-0e05-4819-bf3a-f4e59f225ed3,True,True,False,True,propext;Classical.choice;Quot.sound,True,4018,,default,27.85
2026-05-06T16:33:08,cyclotomic_integer_house_le_two,Real cyclotomic integer with house at most 2,False,cyclotomic_integer_house_le_two,54910e96-3152-40d1-b56b-41970f43da2a,True,True,False,True,propext;Classical.choice;Quot.sound,True,4893,,default,34.85
2026-05-06T16:33:11,gleason_theorem_finite,Gleason's theorem (finite-dimensional),False,gleason_theorem_finite,3df8d18c-de97-4729-9559-8fd12e0ca765,True,False,False,False,,False,1623,,default,0.25
2026-05-06T16:34:15,contractibleSpace_houseWithTwoRooms,Bing's house with two rooms is contractible,False,contractibleSpace_houseWithTwoRooms,d4966fa0-d985-4eb6-b893-dd976e6d22ee,True,False,False,False,,False,3044,,default,4.98
2026-05-06T20:00:58,gleason_theorem_finite,Gleason's theorem (finite-dimensional),False,gleason_theorem_finite,3df8d18c-de97-4729-9559-8fd12e0ca765,True,False,False,False,,False,1623,,default,0.25
2026-05-06T20:00:58,contractibleSpace_houseWithTwoRooms,Bing's house with two rooms is contractible,False,contractibleSpace_houseWithTwoRooms,d4966fa0-d985-4eb6-b893-dd976e6d22ee,True,True,True,False,,False,3044,,default,4.98
